Probability_0,Probability_1,Probability_2
0.0012985217233500417,0.14265964622444652,0.8560418320522034
0.0426864623430018,0.957299261178443,1.427647855518531e-05
0.0015396810669211596,0.9846462792434761,0.013814039689602875
0.24470512338215009,0.7552849884717349,9.888146115134771e-06
0.21565319731031574,0.7842831197417929,6.368294789138233e-05
0.0002250181561913414,0.15896861141739205,0.8408063704264166
0.005459745881494034,0.840872700865958,0.1536675532525478
0.028171617961559797,0.9430213550042055,0.028807027034234687
0.0031616038414198407,0.9914202727685224,0.005418123390057805
0.019766834780557397,0.9802139049023244,1.9260317118299416e-05
0.009711553045578261,0.9842038042702991,0.006084642684122591
0.006540040994289641,0.2514209125517812,0.7420390464539292
0.024679462540606607,0.9674207925643534,0.007899744895039768
0.00010541895606301546,0.0639466232334552,0.9359479578104819
0.011875716629772885,0.9794486598967558,0.008675623473471393
0.018676127556162388,0.9739768506614149,0.007347021782422607
0.6384700265848423,0.3615294762766981,4.971384594833265e-07
0.16479066110531077,0.8352059976809834,3.34121370594103e-06
0.10592457407883421,0.894017515893933,5.791002723276182e-05
0.003385988903180733,0.1554094050697345,0.8412046060270847
0.005153669735688778,0.8334801212542353,0.16136620901007595
0.27904757752799714,0.7209518880092004,5.344628024679673e-07
0.01814353761702041,0.9818372456365825,1.921674639697451e-05
0.0006462980366946922,0.11535409287286989,0.8839996090904354
3.12534898171829e-05,0.020484186721185405,0.9794845597889975
0.026548302522447963,0.659640562867313,0.313811134610239
0.007451341657427467,0.9890775972804902,0.0034710610620825753
5.8177718516503615e-05,0.12387023358814866,0.8760715886933348
0.3072689948296305,0.6927299657140438,1.0394563257728591e-06
0.14488137918388913,0.8550262527829169,9.236803319400463e-05
0.07237025155196884,0.9276117581238187,1.7990324212568233e-05
0.003055761314293445,0.9088423153947908,0.08810192329091572
0.000521113084168979,0.28956346156195784,0.7099154253538731
0.00042320742696382225,0.7644760614613613,0.23510073111167498
0.0007298341839898098,0.5446805615668151,0.45458960424919514
0.0007043253573824328,0.1440713620226721,0.8552243126199455
0.1943933752034646,0.8055774720831107,2.9152713424610486e-05
0.013071047293523668,0.9868166669686258,0.00011228573785047138
0.4373897232772603,0.5626070506777376,3.2260450021360446e-06
7.95198189917261e-06,0.03073241944864167,0.9692596285694592
0.40615279039795454,0.5938467158930822,4.937089631735503e-07
0.1266133336550893,0.87338397144297,2.694901940880809e-06
0.030481340787240692,0.6300184782278488,0.33950018098491047
0.06075465216793436,0.9392252624939198,2.008533814594478e-05
0.011950420857453611,0.7368056181199647,0.25124396102258173
